"date","model","tone","l","woc","coverFile","file_name","count"
"11/1/2006","Cate Blanchett","#B5A597",0.652337858,"0","196_11_2006.jpg","196_11_2006_0.jpg",1
"1/1/2002","Julianne Moore","#CF9C87",0.673669468,"0","192_01_2002.jpg","192_01_2002_0.jpg",1
"7/1/2012","Emma Stone","#E5B186",0.712745098,"0","202_07_2012.jpg","202_07_2012_0.jpg",1
"3/1/2005","Sandra Bullock","#D7A274",0.651372549,"0","195_03_2005.jpg","195_03_2005_0.jpg",1
"1/1/2001","Marion Jones","#C77955",0.558371041,"1","191_01_2001.jpg","191_01_2001_0.jpg",1
"4/1/2012","Jennifer Lopez","#C39C7A",0.622689076,"1","202_04_2012.jpg","202_04_2012_0.jpg",1
"2/1/2018","Serena Williams","#935E47",0.430514706,"1","208_02_2018.jpg","208_02_2018_0.jpg",1
"7/1/2011","Emma Watson","#E1C5B4",0.795588235,"0","201_07_2011.jpg","201_07_2011_0.jpg",1
"3/1/2006","Natalie Portman","#D6B39B",0.724893436,"0","196_03_2006.jpg","196_03_2006_0.jpg",1
"3/1/2018","Alicia Vikander","#EABB9A",0.763071895,"0","208_03_2018.jpg","208_03_2018_0.jpg",1
"9/1/2012","Lady Gaga","#E2D1C7",0.835729847,"0","202_09_2012.jpg","202_09_2012_0.jpg",1
"7/1/2015","Cara Delevingne","#ECAE95",0.756732026,"0","205_07_2015.jpg","205_07_2015_0.jpg",1
"9/1/2008","Keira Knightley","#BEA699",0.674673203,"0","198_09_2008.jpg","198_09_2008_0.jpg",1
"8/1/2000","Carmen Kass","#CA9683",0.653846154,"0","190_08_2000.jpg","190_08_2000_0.jpg",1
"3/1/2004","Angelina Jolie","#B87B67",0.565418895,"0","194_03_2004.jpg","194_03_2004_0.jpg",1
"11/1/2007","Jennifer Connelly","#E8C5AA",0.790196078,"0","197_11_2007.jpg","197_11_2007_0.jpg",1
"3/1/2008","Drew Barrymore","#C89A7E",0.641736695,"0","198_03_2008.jpg","198_03_2008_0.jpg",1
"2/1/2008","Kate Bosworth","#A67D61",0.515686275,"0","198_02_2008.jpg","198_02_2008_0.jpg",1
"9/1/2002","Kate Hudson","#D8B5A1",0.741421569,"0","192_09_2002.jpg","192_09_2002_0.jpg",1
"4/1/2018","Kendall Jenner","#E7CDBC",0.824355005,"0","208_04_2018.jpg","208_04_2018_0.jpg",1
"12/1/2018","Emily Blunt","#D99C82",0.68177624,"0","208_12_2018.jpg","208_12_2018_0.jpg",1
"6/1/2016","Margot Robbie","#D29F72",0.635947712,"0","206_06_2016.jpg","206_06_2016_0.jpg",1
"10/1/2018","Lady Gaga","#DDCAC0",0.812655971,"0","208_10_2018.jpg","208_10_2018_0.jpg",1
"8/1/2001","Amber Valletta","#C9A594",0.684313725,"0","191_08_2001.jpg","191_08_2001_0.jpg",1
"6/1/2005","Salma Hayek","#BB8A6F",0.58583878,"1","195_06_2005.jpg","195_06_2005_0.jpg",1
"12/1/2008","Jennifer Aniston","#95745A",0.470437406,"0","198_12_2008.jpg","198_12_2008_0.jpg",1
"6/1/2014","Charlize Theron","#E6A992",0.738562092,"0","204_06_2014.jpg","204_06_2014_0.jpg",1
"7/1/2013","Katy Perry","#EDCAB5",0.821799308,"0","203_07_2013.jpg","203_07_2013_0.jpg",1
"5/1/2001","Carmen Kass","#CB8B67",0.602058824,"0","191_05_2001.jpg","191_05_2001_0.jpg",1
"8/1/2013","Claire Danes","#EFC5A4",0.792810458,"0","203_08_2013.jpg","203_08_2013_0.jpg",1
"10/1/2006","Sandra Bullock","#BB8B6D",0.580784314,"0","196_10_2006.jpg","196_10_2006_0.jpg",1
"10/1/2011","Michelle Williams","#D5CBBB",0.786181139,"0","201_10_2011.jpg","201_10_2011_0.jpg",1
"1/1/2009","Anne Hathaway","#DEA36D",0.650980392,"0","199_01_2009.jpg","199_01_2009_0.jpg",1
"12/1/2006","Nicole Kidman","#C5AD94",0.679215686,"0","196_12_2006.jpg","196_12_2006_0.jpg",1
"12/1/2012","Anne Hathaway","#EBD1BD",0.833946078,"0","202_12_2012.jpg","202_12_2012_0.jpg",1
"2/1/2002","Sarah Jessica Parker","#C59876",0.62120098,"0","192_02_2002.jpg","192_02_2002_0.jpg",1
"8/1/2003","Sarah Jessica Parker","#B08466",0.547058824,"0","193_08_2003.jpg","193_08_2003_0.jpg",1
"11/1/2012","Rihanna","#F3B18D",0.7544406,"1","202_11_2012.jpg","202_11_2012_0.jpg",1
"1/1/2012","Meryl Streep","#D3B69D",0.723921569,"0","202_01_2012.jpg","202_01_2012_0.jpg",1
"7/1/2003","Demi Moore","#C39E86",0.645490196,"0","193_07_2003.jpg","193_07_2003_0.jpg",1
